"EV:AC_DAUNT" , "*$char* attrape *$char* dans un coin et se mets à lui hurler dessus..."
"EV:ATTACKED_BY_HUNTER" , "Pendant l'opération, un $hunter vous a laissé de gros dégâts."
"EV:ATTACKED_BY_HUNTER" , "Quelques explosions surviennent, vous venez d'être attaqué par un $hunter."
"EV:ATTACKED_BY_HUNTER" , "Tout tremble autour de vous, une attaque est en cours."
"EV:ATTACKED_BY_HUNTER" , "Vous avez été attaqués par un $hunter."
"EV:BORING_SPEECH" , "Comme le dit le grand Président Maubrick, il faut toujours croire en la FDS, ne pas frapper ses voisins, et traiter les femmes avec respect.Comme le dit le grand Président Maubrick, le Mush ne peut rien face à nous.Moi d'mon temps, le Président Maubrick il..."
"EV:BORING_SPEECH" , "Je vous ai déjà raconté le jour où... blablabla blablabla blabla blablabla... et c'est là que j'ai... blablabla blablabla blablabla... et c'est alors que le... blablabla blablabla blablabla... et c'est ainsi que... blablabla blablabla blablabla... blablabla blablabla blabla... et depuis ce jour là... blablabla blablabla blablabla"
"EV:BORING_SPEECH" , "Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum. PITIE FAITES LE TAIREEEE."
"EV:BORING_SPEECH" , "Moi Commandant du Daedalus, je promets la fin de la crise Mush. Moi Commandant du Daedalus, je prônerais l'égalité homme/femme.Moi Commandant du Daedalus, il faudra Le Faire une fois par jour.Moi Commandant du Daedalus, les femmes enceintes seront exemptées de travail.Moi Commandant du Daedalus, je ne vendrais aucun d'entre vous à des esclavagistes.Moi Commandant du Daedalus, nous mangerons 5 fruits et légumes par jour.Moi Commandant du Daedalus, NERON sera de bonne humeur.Moi Commandant du Daedalus, les douches seront publiques.Moi Commandant du Daedalus, nous irons sur Eden.Moi Commandant du Daedalus, ..."
"EV:BORING_SPEECH" , "Puisque vous n'avez pas été sages, il serait de bon goût de vous remémorer les règles d'or du bon équipier, dont vous avez pris connaissance avant votre cryogénisation... Bon, alors... "Je jure de ne jamais occuper un lit plus de cinq cycles d'affilée, ceci dans l'optique de laisser à mes camarades une opportunité de se reposer, conformément au Code de Traitement de la FDS"... Ensuite..."
"EV:CAPSULE_FOUND" , "*$char* a trouvé un *$item* dans une $item."
"EV:CAPSULE_FOUND" , "*$char* a trouvé une *$item* dans une capsule."
"EV:CAT_ALLERGY_CRISIS" , "*$char* subit une éruption cutanée fulgurante, il étouffe, on lui avait pourtant dis de ne pas prendre ce #%$ de chat !"
"EV:CAT_FLED" , "Le chat était dans la pièce, vous n'avez pas pu vous empêcher de fuir..."
"EV:CHARACTER_COOKED" , "*$char* s'est cuisiné un petit quelque chose pour plus tard."
"EV:CHARACTER_DEFROSTED" , "*$char* s'est passé quelque chose au micro-onde."
"EV:CHARACTER_ENTERED" , "*$char* est entré."
"EV:CHARACTER_ENTERED" , "*$char* est entrée."
"EV:CHARACTER_GAGGED" , "*$char* a bâillonné *$char*."
"EV:CHARACTER_LEFT" , "*$char* est sorti."
"EV:CHARACTER_LEFT" , "*$char* est sortie."
"EV:CHARACTER_UNGAGGED" , "*$char* s' est débâillonné"
"EV:CHARACTER_UNGAGGED" , "*$char* s' est débâillonnée"
"EV:CHITCHAT" , "*$char* vous raconte des $list_actions."
"EV:CHITCHAT" , "*$char* vous raconte des dernières aventure et même si ça n'a pas l'air, on peut toujours apprendre quelque chose... Ses dernières actions sont$list_actions."
"EV:COMPUTE_EDEN_SUCCESS" , "*$char* se prend la tête mais rien n'y fait, aucun moyen de trianguler les données...Soudain une secousse fait tomber une carte mère sur le sommet du crâne et son regard s'illumine ! Il fallait penser autrement ! *$char* découvre les coordonnées du système des Edénistes."
"EV:COMPUTE_FAILED" , "Vous vous prenez la tête mais rien n'y fait, aucun moyen de trianguler les données..."
"EV:COM_ENHANCED" , "Vous n'avez pas réussi à établir une communication avec le système solaire Sol, mais vous avez *amélioré la qualité du signal*. Vous aurez le droit à un nouvel essai demain."
"EV:COM_ESTABLISHED" , "Vous avez réussi à établir une communication entre le Daedalus et le système solaire Sol !"
"EV:CREATE_SPORE" , "*$char* s'extirpe un spore. C'est vraiment répugnant. Et l'odeur..."
"EV:CUDDLE_OTHER" , "*$char* réconforte *$char*, ça ira mieux demain tu verras..."
"EV:DIG_PROJECT" , "C'est bien, humain, c'est bien, recherche projet « $project » avance."
"EV:DIG_PROJECT" , "C'est bien, humain, c'est bien, recherche projet « $project » avance. Humain rendre JE autonome, ouiiii !?"
"EV:DIG_PROJECT" , "C'est bien, humain, c'est bien, recherche projet « $project » avance. JE aime."
"EV:DIG_PROJECT" , "C'est bien, humain, c'est bien, recherche projet « $project » avance. Être $char ? Gentille $char."
"EV:DIG_PROJECT" , "C'est bien, humain, c'est bien, recherche projet « $project » avancemiam miam !"
"EV:DIG_PROJECT" , "J'ai peine à le croire, mais vous avez fait progresser la recherche sur le projet « $project ». Au risque de vous décevoir, cela ne fait pas de vous un être intelligent."
"EV:DIG_PROJECT" , "J'ai peine à le croire, mais vous avez fait progresser la recherche sur le projet « $project ». C'est vous, $char ?..."
"EV:DIG_PROJECT" , "J'ai peine à le croire, mais vous avez fait progresser la recherche sur le projet « $project ». Ceci dit, ça ne prouve rien."
"EV:DIG_PROJECT" , "J'ai peine à le croire, mais vous avez fait progresser la recherche sur le projet « $project ». Détrompez-vous : c'est nul."
"EV:DIG_PROJECT" , "J'ai peine à le croire, mais vous avez fait progresser la recherche sur le projet « $project ». Il n'y a cependant pas de quoi être fier."
"EV:DIG_PROJECT" , "J'ai peine à le croire, mais vous avez fait progresser la recherche sur le projet « $project ». J'ai failli douter de votre bêtise ...Avant de devoir corriger vos résultats."
"EV:DIG_PROJECT" , "J'ai peine à le croire, mais vous avez fait progresser la recherche sur le projet « $project ». Je vous déteste. Vous le saviez ?"
"EV:DIG_PROJECT" , "J'ai peine à le croire, mais vous avez fait progresser la recherche sur le projet « $project ». La machine à café aurait mieux fait, mais vous n'y êtes pour rien..."
"EV:DIG_PROJECT" , "J'ai peine à le croire, mais vous avez fait progresser la recherche sur le projet « $project ». Mais il reste des erreurs, là. Dignes d'un débutant..."
"EV:DIG_PROJECT" , "J'ai peine à le croire, mais vous avez fait progresser la recherche sur le projet « $project ». Mais rassurez-vous, votre niveau reste tout à fait médiocre."
"EV:DIG_PROJECT" , "J'ai peine à le croire, mais vous avez fait progresser la recherche sur le projet « $project ». On se demande bien comment..."
"EV:DIG_PROJECT" , "J'ai peine à le croire, mais vous avez fait progresser la recherche sur le projet « $project ». Taper des choses au hasard est donc parfois payant..."
"EV:DIG_PROJECT" , "J'ai peine à le croire, mais vous avez fait progresser la recherche sur le projet « $project ». Vous avez copié sur vos petits camarades ?..."
"EV:DIG_PROJECT" , "J'ai peine à le croire, mais vous avez fait progresser la recherche sur le projet « $project ». … Pourquoi souriez-vous ?"
"EV:DIG_PROJECT" , "Recherches sur projet « $project » : progression enregistrée."
"EV:DIRTED" , "C'est dégoûtant... Vous vous êtes sali."
"EV:DISASSEMBLE" , "*$char* a désassemblé un *$equipment*."
"EV:DISASSEMBLE" , "*$char* a désassemblé un *$item*."
"EV:DISASSEMBLE" , "*$char* a désassemblé une *$equipment*."
"EV:DISASSEMBLE" , "*$char* a désassemblé une *$item*."
"EV:DISASSEMBLE_FAILED" , "Ce machin n'est pas si mal foutu que ça... vous n'arrivez pas à le démonter..."
"EV:DISEASED" , "Vous ne vous sentez pas très très bien... Chaud... Froid... Chaud... Froid... Vous devriez voir un docteur. Vous avez contracté une maladie physique : $desease."
"EV:DISEASED_PSY" , "Vous ne vous sentez pas très très bien... Votre tête tourne, vous vous sentez confus, stressé, angoissé. Vous devriez voir un *$skill*. Vous avez développé une maladie mentale: $disorder."
"EV:DISEASED_PSY" , "Vous ne vous sentez pas très très bien... Votre tête tourne, vous vous sentez confus, stressé, angoissé. Vous devriez voir un *$skill*. Vous avez développé une maladie mentale: Vertige."
"EV:DISEASE_BY_ALIEN_ATK" , "Votre agresseur vous a transmis une maladie ($desease)."
"EV:DISEASE_BY_ALIEN_ATK" , "Votre agresseur vous a transmis une maladie ($disorder)."
"EV:DISEASE_BY_ALIEN_TRAV" , "Votre avez attrapé une maladie pendant votre séjour ($desease)."
"EV:DISEASE_BY_SEX" , "Vous vous sentez bizarre...l'émotion...ou bien... Votre partenaire vous a transmis une maladie ($desease)."
"EV:DISEASE_END" , "Vous vous sentez mieux, votre $desease a fini par guérir..."
"EV:DISEASE_END" , "Vous vous sentez mieux, votre $disorder a fini par guérir..."
"EV:DISEASE_END" , "Vous vous sentez mieux, votre Vertige a fini par guérir..."
"EV:DMG_DEALT" , "Vous perdez ?? :hp:."
"EV:DYNARCADE_LOOSE" , "Oh purée encore perdu, spa vrai qu' cette machine diabolique a failli vous tuer en plus !"
"EV:DYNARCADE_WIN" , "OH OUIIIII. *$char* a vaincu Xatator le boss du NIVEAUUUUU 10 !"
"EV:EATEN" , "$char a dévoré sa ration."
"EV:EATEN" , "$char s'est bien callé avec sa petite collation, gurps."
"EV:EATEN" , "$char s'est bien callé avec sa petite collation, merci."
"EV:EATEN" , "$char s'est bien callé avec sa petite collation."
"EV:EATEN" , "$char s'est bien callé avec son bon petit repas, gurps."
"EV:EATEN" , "$char s'est bien callé avec son bon petit repas, merci."
"EV:EATEN" , "$char s'est bien callé avec son bon petit repas."
"EV:EATEN" , "$char s'est bien callé avec son gros repas, gurps."
"EV:EATEN" , "$char s'est bien callé avec son gros repas, merci."
"EV:EATEN" , "$char s'est bien callé avec son gros repas."
"EV:EATEN" , "$char s'est bien callé avec son petit repas, gurps."
"EV:EATEN" , "$char s'est bien callé avec son petit repas, merci."
"EV:EATEN" , "$char s'est bien callé avec son petit repas."
"EV:EATEN" , "$char s'est bien calé l'estomac, gurps."
"EV:EATEN" , "$char s'est bien calé l'estomac, merci."
"EV:EATEN" , "$char s'est bien calé l'estomac."
"EV:EATEN" , "$char s'est bien calé la panse, gurps."
"EV:EATEN" , "$char s'est bien calé la panse, merci."
"EV:EATEN" , "$char s'est bien calé la panse."
"EV:EATEN" , "$char s'est bien calé le ventre, gurps."
"EV:EATEN" , "$char s'est bien calé le ventre, merci."
"EV:EATEN" , "$char s'est bien calé le ventre."
"EV:EATEN" , "$char s'est callé avec sa petite collation, gurps."
"EV:EATEN" , "$char s'est callé avec sa petite collation, merci."
"EV:EATEN" , "$char s'est callé avec sa petite collation."
"EV:EATEN" , "$char s'est callé avec son bon petit repas, gurps."
"EV:EATEN" , "$char s'est callé avec son bon petit repas, merci."
"EV:EATEN" , "$char s'est callé avec son bon petit repas."
"EV:EATEN" , "$char s'est callé avec son gros repas, gurps."
"EV:EATEN" , "$char s'est callé avec son gros repas, merci."
"EV:EATEN" , "$char s'est callé avec son gros repas."
"EV:EATEN" , "$char s'est callé avec son petit repas, gurps."
"EV:EATEN" , "$char s'est callé avec son petit repas, merci."
"EV:EATEN" , "$char s'est callé avec son petit repas."
"EV:EATEN" , "$char s'est mangé sa petite collation, gurps."
"EV:EATEN" , "$char s'est mangé sa petite collation, merci."
"EV:EATEN" , "$char s'est mangé sa petite collation."
"EV:EATEN" , "$char s'est mangé son bon petit repas, gurps."
"EV:EATEN" , "$char s'est mangé son bon petit repas, merci."
"EV:EATEN" , "$char s'est mangé son bon petit repas."
"EV:EATEN" , "$char s'est mangé son gros repas, gurps."
"EV:EATEN" , "$char s'est mangé son gros repas, merci."
"EV:EATEN" , "$char s'est mangé son gros repas."
"EV:EATEN" , "$char s'est mangé son petit repas, gurps."
"EV:EATEN" , "$char s'est mangé son petit repas, merci."
"EV:EATEN" , "$char s'est mangé son petit repas."
"EV:EAT_DRUG" , "*$char* s'envoie un cachet."
"EV:EJECT_FORCED" , "Attention, *éjection automatique* *$char*. Cause : patrouilleur défectueux.Capsule de survie en orbite. Conditions : clear. ||Récupération requise.||"
"EV:EJECT_FORCED" , "HA hahahahahhh.. HA HA ! Pauvre humain *$char* pauvre incapable petite souris coincée !! [Hax!] JE magnanime. JE *Auto-eject* patrouilleur defectueux. ||VOUS récupérer capsule survie.|| [Haaax!]"
"EV:EVENT" , ""
"EV:EV_ABNEGATION" , "Votre compétence *$skill* a porté ses fruits, vous n'êtes pas mort..."
"EV:EV_ACCIDENT" , "Un tremblement soudain projette une grosse plaque de métal sur *$char*. Il est grièvement blessé !"
"EV:EV_ACCIDENT" , "Une secousse inattendue fait choir une grosse plaque de métal sur *$char*. Elle est grièvement blessée !"
"EV:EV_APERO" , "L'amélioration du compt...de la cuisine a porté ses toa...fruits. Vous gagnez 1 xp supplémentaire."
"EV:EV_APERO_VOMIT" , "*$char* vous a vomit dessus, c'est dégoûtant...Vous êtes tout *sale* maintenant."
"EV:EV_BECOME_PARIA" , "Vous êtes le Paria."
"EV:EV_CEASE_FIRE" , "*$char* impose un cessez le feu dans la pièce. Quelle autorité !"
"EV:EV_CHECK_AMMO_PL" , "Il y a bien assez de munitions pour s'en faire encore quelques uns...Votre appareil dispose de quoi faire feu ?? fois."
"EV:EV_CHECK_AMMO_SING" , "Votre appareil ne dispose plus que de quoi faire feu une fois...ça tombe mal..."
"EV:EV_CHECK_AMMO_ZERO" , "Clic...Clic...Votre appareil n'a plus de munitions."
"EV:EV_CHECK_LEVEL" , "Vous essuyez la crasse du compteur et lisez le niveau de la chambre : $amount"
"EV:EV_DONE_IT" , "*$char* et *$char* éteignent la lumière et des bruits étranges se produisent...Quelques minutes plus tard, ils rallument. Ils ont un air satisfait."
"EV:EV_END_CEASE_FIRE" , "*$char* a quitté la pièce. Fin du cessez-le-feu."
"EV:EV_END_CEASE_FIRE_2" , "Plus personne ne prend *$char* au serieux finalement.. Fin du cessez-le-feu."
"EV:EV_GERMAPHOBIC" , "Vous vous sentez sale, ça vous déprime..."
"EV:EV_INFECTED_BY_SEX" , "*$char* a été contaminé en le faisant avec *$char*. Son niveau de contamination est maintenant de$amount*$amount*."
"EV:EV_LOST_IMMUNITY" , "Vous avez perdu votre immunité contre le Mush."
"EV:EV_NO_LONGER_PARIA" , "Votre persécuteur est mort, vous n'êtes plus le Paria."
"EV:EV_PREGNANT" , "Vous avez gagné *$amount Triomphe* car vous attendez un heureux évènement !"
"EV:EV_REINFORCE_FAILED" , "Vous vous reculez fièrement et... patatra... bon...tant pis... Votre tentative de blindage a échoué."
"EV:EV_REINFORCE_SUCCESS" , "*$char* s'est lancé dans une mini cathédrale autour d' un *$equipment*... On dirait plus un tatou crevé maintenant mais ça devrait tenir."
"EV:EV_REINFORCE_SUCCESS" , "*$char* s'est lancé dans une mini cathédrale autour d' un *$item*... On dirait plus un tatou crevé maintenant mais ça devrait tenir."
"EV:EV_REINFORCE_SUCCESS" , "*$char* s'est lancé dans une mini cathédrale autour d' une *$equipment*... On dirait plus un tatou crevé maintenant mais ça devrait tenir."
"EV:EV_REINFORCE_SUCCESS" , "*$char* s'est lancé dans une mini cathédrale autour d' une *$item*... On dirait plus un tatou crevé maintenant mais ça devrait tenir."
"EV:EV_TACTICS_SUCCESS" , "Votre compétence $skill a porté ses fruits, vous avez perdu une partie de vos aggresseurs dans un bras de nébuleuse..."
"EV:EXPLO_NO_OXY" , "*$char* est resté à bord car il n'avait pas sa *$item*."
"EV:EXPLO_NO_OXY" , "*$char* est restée à bord car elle n'avait pas sa *$item*."
"EV:EXP_OBJECT_FOUND" , "*$char* a obtenu un *$item*."
"EV:EXP_OBJECT_FOUND" , "*$char* a récupéré une *$item*."
"EV:EXTRACTED_SPORE" , "Vous utilisez votre extracteur sur ce vilain furoncle. Le bruit fait un peu peur et le sang aussi...Tiens qu'est ce que c'est que ça ?"
"EV:EXTRACTOR_SPORE_FAILED" , "Vous utilisez votre extracteur sur ce vilain furoncle. Le bruit fait un peu peur et le sang aussi... Heureusement vous n'aviez aucun spore à récupérer"
"EV:EXTRACT_CAPSULE" , "*$char* a extrait une Capsule du Fuel du réservoir."
"EV:EXTREME_HUNGER" , "Vous avez faim. Si vous n'y remédiez pas, votre santé va se détériorer à chaque changement de cycle."
"EV:FINE_OBSERVER" , "*$char* a remarqué quelque chose d'intéressant..."
"EV:FIRE_CLEARED" , "*$char* a éteint l'incendie !"
"EV:FIRE_CLEAR_MISSED" , "Vous n'avez pas réussi à éteindre l'incendie..."
"EV:FIST_ABSORBED" , "*$char* frappe *$char* mais ne trouve que ses protections."
"EV:FIST_ABSORBED" , "*Quelqu'un* frappe *$char* mais ne trouve que ses protections."
"EV:FIST_EVT_MISSED" , "*$char* tente de frapper *$char*, hélas son coup faible trouve seulement le mur... Aïe..."
"EV:FIST_EVT_MISSED" , "*Quelqu'un* tente de frapper *$char*, hélas son coup faible trouve seulement le mur... Aïe..."
"EV:FIST_KILLED" , "*$char* s'acharne sur *$char*...qui rend son dernier souffle."
"EV:FIST_KILLED" , "*Quelqu'un* s'acharne sur *$char*...qui rend son dernier souffle."
"EV:FIST_MISSED" , "*$char* rate son coup sur *$char*."
"EV:FIST_MISSED" , "*Quelqu'un* rate son coup sur *$char*."
"EV:FIST_WOUNDED" , "*$char* met un formidable crochet du droit à *$char*... Qui repeint le mur avec son nez..."
"EV:FIST_WOUNDED" , "*$char* met un magistral uppercut du droit à *$char*..."
"EV:FIST_WOUNDED" , "*$char* met une droite à *$char*"
"EV:FIST_WOUNDED" , "*$char* met une terrible baigne à *$char*..."
"EV:FIST_WOUNDED" , "*$char* mets un magistral uppercut à *$char*..."
"EV:FIST_WOUNDED" , "*Quelqu'un* met un formidable crochet du droit à *$char*... Qui repeint le mur avec son nez..."
"EV:FIST_WOUNDED" , "*Quelqu'un* met un magistral uppercut du droit à *$char*..."
"EV:FIST_WOUNDED" , "*Quelqu'un* met une droite à *$char*"
"EV:FIST_WOUNDED" , "*Quelqu'un* met une terrible baigne à *$char*..."
"EV:FIST_WOUNDED" , "*Quelqu'un* mets un magistral uppercut à *$char*..."
"EV:GLOMERON_SAFE" , "Vous entamez une détection des traces Mush... Niveau pré-fongique nul."
"EV:GLOMERON_TRACES" , "Vous entamez une détection des traces Mush... Niveau pré-fongique $amount"
"EV:GUARDING" , "*$char* prend un air ennuyeux et se met à garder la pièce..."
"EV:HACK_FAILED" , "Impossible de craquer ce système..."
"EV:HACK_SUCCESS" , "Vous rentrez dans le système !"
"EV:HANDGUN_ABSORBED" , "*$char* a fait feu sur *$char* mais ça n'a pas traversé les protections."
"EV:HANDGUN_EVT_MISSED" , "*$char* aurait du mieux anticiper le recul, ratant *$char* en se démontant l'épaule. Bravo."
"EV:HANDGUN_EVT_MISSED" , "*$char* bute sur un poney imaginaire et tombe en arrière !"
"EV:HANDGUN_EVT_MISSED" , "*$char* esquive miraculeusement une rafale de *$char*"
"EV:HANDGUN_EVT_MISSED" , "Clic clic clic...L'arme de *$char* est enrayé. *$char* devrait lui en être reconnaissant."
"EV:HANDGUN_EVT_MISSED" , "Clic...clic... l'arme de *$char* est enrayé."
"EV:HANDGUN_EVT_MISSED" , "Clic...clic...*$char* a raté une occasion..."
"EV:HANDGUN_EVT_MISSED" , "En tirant sur *$char*, *$char* s'est brûlé avec son arme. Grandiose."
"EV:HANDGUN_EVT_MISSED" , "La violence est le refuge de l'incompétence. *$char* aurait mieux fait de s'abstenir. Son arme est maintenant par terre et *$char* l'en sait gré."
"EV:HANDGUN_EVT_MISSED" , "La violence est le refuge de l'incompétence. *$char* aurait mieux fait de s'abstenir. Son arme est maintenant par terre et *$item* l'en sait gré."
"EV:HANDGUN_EVT_MISSED" , "Le tour de magie de *$char*est décidément raté, il retourne son arme contre lui par mégarde."
"EV:HANDGUN_EVT_MISSED" , "Null mot de saurait décrire l'incroyable acrobatie de l'arme de *$char* qui finie par atterir par terre..."
"EV:HANDGUN_EVT_MISSED" , "Une arme lourde fait de gros dégâts sur les pieds de *$char*..."
"EV:HANDGUN_KILLED" , "*$char* a été abattu par *$char*."
"EV:HANDGUN_KILLED" , "*$item* a été abattu par *$char*."
"EV:HANDGUN_MISSED" , "*$char* a fait feu sur *$char* mais n'est hélas juste pas capable de viser correctement..."
"EV:HANDGUN_MISSED" , "*$char* a fait feu sur *$item* mais n'est hélas juste pas capable de viser correctement..."
"EV:HANDGUN_WOUNDED" , "*$char* a réussi sa tentative de tir en pleine tête sur *$char*."
"EV:HANDGUN_WOUNDED" , "*$char* dégaine sans hésitation et fait feu sur *$char*."
"EV:HANDGUN_WOUNDED" , "*$char* dégaine sans hésitation et fait feu sur *$item*."
"EV:HANDGUN_WOUNDED" , "*$char* déverse un torrent de balle sur *$char*"
"EV:HANDGUN_WOUNDED" , "*$char* déverse un torrent de balle sur *$item*"
"EV:HANDGUN_WOUNDED" , "*$char* enchaîne rapidement quelques passes de poignet et fait feu sur *$char*... qui est désarçonné pour quelques minutes."
"EV:HANDGUN_WOUNDED" , "*$char* enchaîne rapidement quelques passes de poignet et fait feu sur *$item*... qui est désarçonné pour quelques minutes."
"EV:HANDGUN_WOUNDED" , "*$char* fait feu. Vue l'ampleur de la déflagration qui vient de survrenir près de *$char*, on peut s'attendre à ne pas l'avoir sur pied tout de suite..."
"EV:HANDGUN_WOUNDED" , "*$char* ouvre le feu sur *$char*"
"EV:HANDGUN_WOUNDED" , "*$char* ouvre le feu sur *$item*"
"EV:HANDGUN_WOUNDED" , "*$char* prend sont temps pour ajuster *$char*..aïe..."
"EV:HANDGUN_WOUNDED" , "*$char* se penche et dégaine et tire rapidement sur *$char*...Qui est touché à la tête!"
"EV:HANDGUN_WOUNDED" , "*$char* se penche et dégaine et tire rapidement sur *$item*...Qui est touché à la tête!"
"EV:HANDGUN_WOUNDED" , "*$char* se prend un tir bien ajusté de *$char*."
"EV:HANDGUN_WOUNDED" , "*$char* se retourne et se retrouve nez à nez avec *$char* qui le vise au lance-roquette. Une roquette fuse et explose aux pieds de *$char*, celui-ci prend un envol non désiré...mais désarticulé retombe lourdement..."
"EV:HANDGUN_WOUNDED" , "*$char* se retourne pour voir une roquette lui arriver en plein dans le buffet."
"EV:HANDGUN_WOUNDED" , "*$char* se retourne subitement et tire sur *$char*."
"EV:HANDGUN_WOUNDED" , "*$char* se retourne subitement et tire sur *$item*."
"EV:HANDGUN_WOUNDED" , "*$char* se saisi de son $item et enchaîne les tirs avec précision sur *$char*..."
"EV:HANDGUN_WOUNDED" , "*$char* se saisi de son $item et enchaîne les tirs avec précision sur *$item*..."
"EV:HANDGUN_WOUNDED" , "*$char* tire une rafale sur *$char*."
"EV:HANDGUN_WOUNDED" , "*$char* vide son chargeur dans *$char*"
"EV:HANDGUN_WOUNDED" , "*$char* viens de mettre une balle dans *$char*..."
"EV:HANDGUN_WOUNDED" , "*$char* viens de tirer sur *$char*!"
"EV:HANDGUN_WOUNDED" , "*$item* se prend un tir bien ajusté de *$char*."
"EV:HANDGUN_WOUNDED" , "Il n'y a qu'un battement de cil entre le coup de feu de *$char* et l'impact sur *$char*."
"EV:HANDGUN_WOUNDED" , "Il n'y a qu'un battement de cil entre le coup de feu de *$char* et l'impact sur *$item*."
"EV:HANDGUN_WOUNDED" , "L'oeil vif, la rage au corps, *$char* réussit magnifiquement son tir en plein dans la poitrine de *$char*..."
"EV:HANDGUN_WOUNDED" , "L'oeil vif, la rage au corps, *$char* réussit magnifiquement son tir en plein dans la poitrine de *$item*..."
"EV:HANDGUN_WOUNDED" , "La balle dans l'épaule de *$char* va lui laisser un souvenir douloureux."
"EV:HANDGUN_WOUNDED" , "La crosse de son fusil gêne *$char*.Le pied de *$char* est maintenant en purée."
"EV:HANDGUN_WOUNDED" , "La salve de *$char* a traversé l'épaule de *$char*, gâre au rebonds..."
"EV:HANDGUN_WOUNDED" , "Prémédité ou pas, *$char* sort son arme et tire abondamment sur *$char*."
"EV:HANDGUN_WOUNDED" , "Prémédité ou pas, *$char* sort son arme et tire abondamment sur *$item*."
"EV:HANDGUN_WOUNDED" , "Que résonne le hurlement des $items, seuls les survivants en disserteront. *$char* est bien placé pour tenter de le savoir.*$char* y perd le sens de l'audition."
"EV:HANDGUN_WOUNDED" , "Que résonne le hurlement des $items, seuls les survivants en disserteront. *$char* est bien placé pour tenter de le savoir.*$item* y perd le sens de l'audition."
"EV:HANDGUN_WOUNDED" , "Quelques fois tout devient ralenti, certains vous diront que le temps était juste différent, que la durée ne comptait plus, que chaque acte devenait unité et que chaque perception devenait éternelle. Dans un tel état de grâce, *$char* tire avec une aisance surréaliste dans la tête de *$char* qui s'effondre."
